the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
bird  #1125  n. 鸟；家伙；羽毛球 vt. 向…喝倒彩；起哄 vi. 猎鸟；观察研究野鸟 n. (Bird)人名；(英、西)伯德
opinion  #1126  n. 意见；主张
credit  #1127  n. 信用，信誉；[金融] 贷款；学分；信任；声望 vt. 相信，信任；把…归给，归功于；赞颂
critical  #1128  adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
corner  #1129  n. 角落，拐角处；地区，偏僻处；困境，窘境 vi. 囤积；相交成角 vt. 垄断；迫至一隅；使陷入绝境；把…难住 n. (Corner)人名；(法)科尔内；(英)科纳
concerned  #1130  adj. 有关的；关心的 v. 关心（concern的过去时和过去分词）；与…有关
recall  #1131  vt. 召回；回想起，记起；取消 n. 召回；回忆；撤消
version  #1132  n. 版本；译文；倒转术
stare  #1133  vi. 凝视，盯着看；显眼 vt. 凝视，盯着看 n. 凝视；注视 n. (Stare)人名；(瑞典)斯塔勒
safety  #1134  n. 安全；保险；安全设备；保险装置；安打
effective  #1135  adj. 有效的，起作用的；实际的，实在的；给人深刻印象
neighborhood  #1136  n. 附近；街坊；接近；街区
original  #1137  n. 原件；原作；原物；原型 adj. 原始的；最初的；独创的；新颖的
act  #1138  n. 行为，行动；法案，法令；假装；（戏剧，歌剧等）一幕 v. 做事，行动；假装；扮演（戏剧，电影中的角色）；充当，起作用；对…有影响 n. (ACT)美国大学入学考试，全称是American College Testing
troop  #1139  n. 军队；组；群；多数 vi. 群集；成群而行；结队 vt. 把（骑兵）编成骑兵连
income  #1140  n. 收入，收益；所得
directly  #1141  adv. 直接地；立即；马上；正好地；坦率地 conj. 一…就
hurt  #1142  vt. 使受伤；损害；使疼痛；使痛心 vi. 感到疼痛；有坏处；带来痛苦 n. 痛苦；危害；痛苦的原因 adj. 受伤的；痛苦的；受损的 n. (Hurt)人名；(德、匈、捷)胡特；(英)赫特
species  #1143  n. [生物] 物种；种类 adj. 物种上的
immediately  #1144  adv. 立即，立刻；直接地 conj. 一…就
track  #1145  n. 轨道；足迹，踪迹；小道 vt. 追踪；通过；循路而行；用纤拉 vi. 追踪；走；留下足迹
basic  #1146  adj. 基本的；基础的 n. 基础；要素
strike  #1147  vi. 打，打击；罢工；敲，敲击；抓；打动；穿透 vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达 n. 罢工；打击；殴打 n. (Strike)人名；(英)斯特赖克
hope  #1148  n. 希望；期望；信心 vt. 希望；期望 vi. 希望；期待；信赖 n. (Hope)人名；(印)霍普；(法)奥普；(西)奥佩
sky  #1149  n. 天空；顶点 vt. 把…投向空中；把…挂得过高 vi. 踢或击高空球；把桨叶翘得过高；飞涨 n. (Sky)人名；(英)斯凯
freedom  #1150  n. 自由，自主；直率 n. (Freedom)人名；(英)弗里德姆
absolutely  #1151  adv. 绝对地；完全地
plane  #1152  n. 飞机；平面；程度，水平 vi. 刨；乘飞机旅行；翱翔 vt. 刨平；用刨子刨；掠过水面 adj. 平的；平面的 n. (Plane)人名；(塞、瑞典、法)普拉内
nobody  #1153  pron. 无人，没有人；没有任何人 n. 无名小卒；小人物
achieve  #1154  vt. 取得；获得；实现；成功 vi. 达到预期的目的，实现预期的结果，如愿以偿
object  #1155  n. 目标；物体；客体；宾语 vt. 提出…作为反对的理由 vi. 反对；拒绝
attitude  #1156  n. 态度；看法；意见；姿势
labor  #1157  n. 劳动；工作；劳工；分娩 vi. 劳动；努力；苦干 vt. 详细分析；使厌烦 n. (Labor)人名；(德、塞、法)拉博尔；(英)拉博
refer  #1158  vi. 参考；涉及；提到；查阅 vt. 涉及；委托；归诸于；使…求助于
concept  #1159  n. 观念，概念
client  #1160  n. [经] 客户；顾客；委托人
powerful  #1161  adj. 强大的；强有力的 adv. 很；非常
perfect  #1162  adj. 完美的；最好的；精通的 vt. 使完美；使熟练 n. 完成式 n. (Perfect)人名；(英)珀费克特
nine  #1163  n. 九，九个 num. 九；九个 adj. 九的，九个的 n. (Nine)人名；(塞)尼内
therefore  #1164  adv. 因此；所以
conduct  #1165  vi. 导电；带领 vt. 管理；引导；表现 n. 进行；行为；实施
announce  #1166  vt. 宣布；述说；预示；播报 vi. 宣布参加竞选；当播音员
conversation  #1167  n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
examine  #1168  vt. 检查；调查； 检测；考试 vi. 检查；调查
touch  #1169  vt. 接触；触动；使轻度受害 vi. 触摸；涉及；接近；提到 n. 接触；触觉；格调；少许 n. (Touch)人名；(柬)杜；(英)陶奇
please  #1170  vt. 使喜欢；使高兴，使满意 vi. 讨人喜欢；令人高兴 int. 请（礼貌用语）
attend  #1171  vt. 出席；上（大学等）；照料；招待；陪伴 vi. 出席；致力于；照料；照顾
completely  #1172  adv. 完全地，彻底地；完整地
vote  #1173  n. 投票，选举；选票；得票数 vt. 提议，使投票；投票决定；公认 vi. 选举，投票 n. (Vote)人名；(英、法)沃特
variety  #1174  n. 多样；种类；杂耍；变化，多样化
sleep  #1175  vi. 睡，睡觉 n. 睡眠 n. (Sleep)人名；(英)斯利普
turn  #1176  vt. 转动，使旋转；转弯；翻过来；兑换 vi. 转向；转变；转动 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止 n. (Turn)人名；(德、匈)图恩
involved  #1177  adj. 有关的；卷入的；复杂的 v. 涉及；使参与；包含（involve的过去式和过去分词）
investigation  #1178  n. 调查；调查研究
nuclear  #1179  adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
researcher  #1180  n. 研究员
press  #1181  vt. 压；按；逼迫；紧抱 vi. 压；逼；重压 n. 压；按；新闻；出版社；[印刷] 印刷机 n. (Press)人名；(英、德、俄、西、瑞典)普雷斯
conflict  #1182  n. 冲突，矛盾；斗争；争执 vi. 冲突，抵触；争执；战斗
spirit  #1183  n. 精神；心灵；情绪；志气；烈酒 vt. 鼓励；鼓舞；诱拐
experience  #1184  n. 经验；经历；体验 vt. 经验；经历；体验
replace  #1185  vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
British  #1186  adj. 英国的；英国人的；大不列颠的 n. 英国人
encourage  #1187  vt. 鼓励，怂恿；激励；支持
argument  #1188  n. 论证；论据；争吵；内容提要
by  #1189  prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
once  #1190  adv. 一次；曾经 conj. 一旦 n. 一次，一回
camp  #1191  vi. 露营；扎营 vt. 扎营；使扎营 n. 露营 n. (Camp)人名；(英)坎普；(瑞典)坎普；(法)康
brain  #1192  n. 头脑，智力；脑袋 vt. 猛击…的头部 n. (Brain)人名；(英)布雷恩
feature  #1193  n. 特色，特征；容貌；特写或专题节目 vi. 起重要作用 vt. 特写；以…为特色；由…主演
afternoon  #1194  n. 午后，下午
AM  #1195  abbr. 调幅 v. 是 n. (Am)人名；(柬)安
weekend  #1196  n. 周末，周末休假；周末聚会 adj. 周末的，周末用的 vi. 度周末
dozen  #1197  n. 十二个，一打 adj. 一打的
possibility  #1198  n. 可能性；可能发生的事物
along  #1199  adv. 一起；向前；来到 prep. 沿着；顺着
insurance  #1200  n. 保险；保险费；保险契约；赔偿金
department  #1201  n. 部；部门；系；科；局
battle  #1202  n. 战役；斗争 vi. 斗争；作战 vt. 与…作战 n. (Battle)人名；(英)巴特尔；(法)巴特勒；(西)巴特莱
beginning  #1203  n. 开始；起点 v. 开始；创建（begin的ing形式）
date  #1204  n. 日期；约会；年代；枣椰子 vi. 过时；注明日期；始于（某一历史时期） vt. 确定…年代；和…约会 n. (Date)人名；(日)伊达 (姓)；(英)戴特
generally  #1205  adv. 通常；普遍地，一般地
African  #1206  adj. 非洲的，非洲人的 n. 非洲人
very  #1207  adj. 恰好是，正是；甚至；十足的；特有的 adv. 非常，很；完全 n. (Very)人名；(英)维里
sorry  #1208  adj. 遗憾的；对不起的，抱歉的 int. 对不起，抱歉（表示委婉的拒绝等）
crisis  #1209  n. 危机；危险期；决定性时刻 adj. 危机的；用于处理危机的
complete  #1210  adj. 完整的；完全的；彻底的 vt. 完成
fan  #1211  vt. 煽动；刺激；吹拂 vi. 成扇形散开；飘动 n. 迷；风扇；爱好者 n. (Fan)人名；(法、俄)法恩；(柬)方
stick  #1212  vt. 刺，戳；伸出；粘贴 vi. 坚持；伸出；粘住 n. 棍；手杖；呆头呆脑的人 n. (Stick)人名；(芬)斯蒂克
define  #1213  vt. 定义；使明确；规定 n. (Define)人名；(英)德法恩；(葡)德菲内
easily  #1214  adv. 容易地；无疑地
through  #1215  prep. 通过；穿过；凭借 adv. 彻底；从头至尾 adj. 直达的；过境的；完结的
hole  #1216  n. 洞，孔；洞穴，穴；突破口 vi. 凿洞，穿孔；（高尔夫球等）进洞 vt. 凿洞 n. (Hole)人名；(瑞典、挪)霍勒；(英)霍尔
element  #1217  n. 元素；要素；原理；成分；自然环境 n. (Element)人名；(德)埃勒门特；(英)埃利门特
vision  #1218  n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄） vt. 想象；显现；梦见
status  #1219  n. 地位；状态；情形；重要身份
normal  #1220  adj. 正常的；正规的；标准的 n. 正常；标准；常态；法线（数学） n. (Normal)人名；(德)诺马尔
Chinese  #1221  n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的
ship  #1222  vt. 运送，乘船；以船运送 vi. 上船；乘船旅行；当船员 n. 船；舰；太空船 n. (Ship)人名；(中)摄(广东话·威妥玛)
solution  #1223  n. 解决方案；溶液；溶解；解答
stone  #1224  n. 石头；结石；[宝] 宝石 adj. 石的，石制的 vt. 向扔石块；用石头铺 n. (Stone)人名；(捷)斯托内；(瑞典)斯托内；(英)斯通
slowly  #1225  adv. 缓慢地，慢慢地
scale  #1226  n. 规模；比例；鳞；刻度；天平；数值范围 vi. 衡量；攀登；剥落；生水垢 vt. 测量；攀登；刮鳞；依比例决定 n. (Scale)人名；(意)斯卡莱
bit  #1227  n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt. 控制 adj. 很小的；微不足道的 adv. 有点儿；相当 vt. 咬（bite的过去式和过去分词）
university  #1228  n. 大学；综合性大学；大学校舍
introduce  #1229  vt. 介绍；引进；提出；采用
driver  #1230  n. 驾驶员；驱动程序；起子；传动器 n. (Driver)人名；(德)德里弗；(英)德赖弗
attempt  #1231  n. 企图，试图；攻击 vt. 企图，试图；尝试
park  #1232  n. 公园；[交] 停车场 vt. 停放；放置；寄存 vi. 停放车辆 n. (Park)人名；(英、芬、瑞典)帕克
spot  #1233  n. 地点；斑点 vt. 认出；弄脏；用灯光照射 vi. 沾上污渍；满是斑点 adj. 现场的；现货买卖的 adv. 准确地；恰好
lack  #1234  vt. 缺乏；不足；没有；需要 vi. 缺乏；不足；没有 n. 缺乏；不足 n. (Lack)人名；(老)拉；(英、法、意、葡、匈)拉克；(匈)洛克
ice  #1235  n. 冰；冰淇淋；矜持；（俚）钻石 vt. 冰镇；结冰 vi. 结冰 adj. 冰的 n. (Ice)人名；(英)艾斯；(法)伊斯
boat  #1236  n. 小船；轮船 vi. 划船
drink  #1237  vt. 喝，饮；吸收；举杯庆贺 vi. 喝酒；饮水；干杯 n. 酒，饮料；喝酒
sun  #1238  n. 太阳 vt. 使晒 vi. 晒太阳 n. (Sun)人名；(中)孙(普通话·威妥玛)；(柬)孙；(缅)素；(土)松
front  #1239  n. 前面；正面；前线 vt. 面对；朝向；对付 vi. 朝向 adj. 前面的；正面的 adv. 在前面；向前 n. (Front)人名；(法)弗龙
distance  #1240  n. 距离；远方；疏远；间隔 vt. 疏远；把…远远甩在后面
wood  #1241  n. 木材；木制品；树林 vi. 收集木材 vt. 植林于；给…添加木柴 n. (Wood)人名；(英、法、西、葡、阿拉伯)伍德
handle  #1242  n. [建] 把手；柄；手感；口实 vt. 处理；操作；运用；买卖；触摸 vi. 搬运；易于操纵
truck  #1243  n. 卡车；交易；手推车 vi. 驾驶卡车；以物易物 vt. 交易；以卡车运输 adj. （美）运货汽车的 n. (Truck)人名；(德)特鲁克
return  #1244  vt. 返回；报答 vi. 返回；报答 n. 返回；归还；回球 adj. 报答的；回程的；返回的
mountain  #1245  n. 山；山脉 n. (Mountain)人名；(英)芒廷
survey  #1246  n. 调查；测量；审视；纵览 vt. 调查；勘测；俯瞰 vi. 测量土地
supposed  #1247  adj. 假定的；被信以为真的；想象上的 v. 假定（suppose的过去分词）
tradition  #1248  n. 惯例，传统；传说
winter  #1249  n. 冬季；年岁；萧条期 vi. 过冬 adj. 冬天的；越冬的 n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特
village  #1250  n. 村庄；村民；（动物的）群落
Soviet  #1251  adj. 苏维埃的；苏联的；苏联人的 n. 苏维埃；苏联政府；苏联人
refuse  #1252  n. 垃圾；废物 vt. 拒绝；不愿；抵制 vi. 拒绝
sales  #1253  adj. 销售的，售货的；有关销售的 n. 销售（sale的复数）；销售额 n. (Sales)人名；(意、西、葡)萨莱斯；(法)萨勒；(英)塞尔斯
roll  #1254  vt. 卷；滚动，转动；辗 vi. 卷；滚动；转动；起伏，摇晃 n. 卷，卷形物；名单；摇晃 n. (Roll)人名；(英、法、德、俄、罗、葡、捷、挪、西、瑞典)罗尔
communication  #1255  n. 通讯，[通信] 通信；交流；信函
run  #1256  vi. 经营；奔跑；运转 vt. 管理，经营；运行；参赛 n. 奔跑；赛跑；趋向；奔跑的路程 n. (Run)人名；(塞)鲁恩
screen  #1257  n. 屏，幕；屏风 vt. 筛；拍摄；放映；掩蔽 vi. 拍电影 n. (Screen)人名；(英)斯克林
gain  #1258  n. 增加；利润；收获 vt. 获得；增加；赚到 vi. 增加；获利 n. (Gain)人名；(英、匈、法)盖恩
resident  #1259  adj. 居住的；定居的 n. 居民；住院医生
hide  #1260  vt. 隐藏；隐瞒；鞭打 vi. 隐藏 n. 躲藏；兽皮；躲藏处
gold  #1261  n. 金，黄金；金色；金币 adj. 金的，金制的；金色的 n. (Gold)人名；(英、法、德、西、罗、捷、瑞典)戈尔德
club  #1262  n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 vt. 用棍棒打；募集 vi. 集资；组成俱乐部 adj. 俱乐部的 n. (Club)人名；(英)克拉布
future  #1263  n. 未来；前途；期货；将来时 adj. 将来的，未来的
farm  #1264  vi. 种田，务农；经营农场 n. 农场；农家；畜牧场 vt. 养殖；耕种；佃出（土地）
potential  #1265  n. 潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
increase  #1266  n. 增加，增长；提高 vi. 增加，增大；繁殖 vt. 增加，加大 n. (Increase)人名；(英)英克里斯
middle  #1267  adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
European  #1268  adj. 欧洲的；欧洲人的 n. 欧洲人
presence  #1269  n. 存在；出席；参加；风度；仪态
